#Wavelenght Flux
   1443.567 2.6374240875e+00 
   1443.900 1.6323774338e+00 
   1444.232 2.0860055923e+00 
   1444.565 2.7045408249e+00 
   1444.897 2.8220041275e+00 
   1445.230 2.1981237411e+00 
   1445.563 1.6233324051e+00 
   1445.896 2.3994403839e+00 
   1446.229 2.6659282684e+00 
   1446.561 1.6101810455e+00 
   1446.895 2.4050947189e+00 
   1447.228 3.2976192474e+00 
   1447.562 2.4686504364e+00 
   1447.895 1.4608670235e+00 
   1448.228 1.7391275406e+00 
   1448.562 2.3918931961e+00 
   1448.895 2.5843078613e+00 
   1449.229 3.1857992172e+00 
   1449.562 3.4798702240e+00 
   1449.897 2.3994083405e+00 
   1450.230 2.7357084274e+00 
   1450.565 2.8547260284e+00 
   1450.898 2.2293092728e+00 
   1451.233 2.0240005493e+00 
   1451.567 2.6577682495e+00 
   1451.901 2.5727884293e+00 
   1452.235 2.6060844421e+00 
   1452.570 2.9908052444e+00 
   1452.904 2.8007360458e+00 
   1453.239 2.3573280334e+00 
   1453.574 2.2555572510e+00 
   1453.908 1.8002788544e+00 
   1454.243 2.5522449493e+00 
   1454.578 3.0919250488e+00 
   1454.913 3.2156925201e+00 
   1455.248 2.8914878845e+00 
   1455.583 2.7094932556e+00 
   1455.919 2.7888029099e+00 
   1456.254 2.6341838837e+00 
   1456.589 2.4459537506e+00 
   1456.924 2.4506633759e+00 
   1457.260 1.8952388763e+00 
   1457.596 2.4160118103e+00 
   1457.931 3.0952770233e+00 
   1458.267 2.4999681473e+00 
   1458.603 2.2757678986e+00 
   1458.938 2.9160961151e+00 
   1459.275 3.1766180038e+00 
   1459.610 2.9249326706e+00 
   1459.947 2.7941919327e+00 
   1460.283 1.9185840607e+00 
   1460.619 2.9909780502e+00 
   1460.955 3.0730112076e+00 
   1461.292 2.4775733948e+00 
   1461.629 2.2388284683e+00 
   1461.965 2.3598987579e+00 
   1462.302 2.6130908966e+00 
   1462.638 2.6931539536e+00 
   1462.976 2.4331106186e+00 
   1463.312 2.8984714508e+00 
   1463.649 2.3492780685e+00 
   1463.986 2.6785715103e+00 
   1464.323 2.4097238541e+00 
   1464.661 2.3043579102e+00 
   1464.998 1.7896541595e+00 
   1465.336 1.7576316833e+00 
   1465.673 2.3883878708e+00 
   1466.010 2.3506895065e+00 
   1466.348 2.3627094269e+00 
   1466.685 3.1215955734e+00 
   1467.023 2.5468456268e+00 
   1467.361 3.2522335052e+00 
   1467.699 2.4708728790e+00 
   1468.037 2.8184192657e+00 
   1468.375 2.5569849014e+00 
   1468.713 2.0500167847e+00 
   1469.051 2.7072084427e+00 
   1469.390 2.9527185440e+00 
   1469.728 2.4560398102e+00 
   1470.067 2.8053642273e+00 
   1470.405 2.3191072464e+00 
   1470.743 2.8024929047e+00 
   1471.082 2.1158561707e+00 
   1471.421 1.4330175400e+00 
   1471.760 2.2071605682e+00 
   1472.099 2.8121881485e+00 
   1472.438 2.2875394821e+00 
   1472.777 2.3158349991e+00 
   1473.116 2.6380775452e+00 
   1473.455 2.1369152069e+00 
   1473.794 2.6372793198e+00 
   1474.134 2.2019290924e+00 
   1474.473 2.5157625198e+00 
   1474.813 2.4464496613e+00 
   1475.153 2.1583282471e+00 
   1475.492 2.3793897629e+00 
   1475.832 2.5742502213e+00 
   1476.172 2.3006189346e+00 
   1476.512 2.5123783112e+00 
   1476.852 2.9015188217e+00 
   1477.192 2.6328712463e+00 
   1477.532 2.1960582733e+00 
   1477.873 2.2553083420e+00 
   1478.213 2.3641927719e+00 
   1478.553 2.5308017731e+00 
   1478.894 2.5288850784e+00 
   1479.234 2.3276092529e+00 
   1479.575 2.7120960236e+00 
   1479.916 1.9093301773e+00 
   1480.257 2.7259588242e+00 
   1480.597 2.5281490326e+00 
   1480.938 2.5873195648e+00 
   1481.280 2.5966419220e+00 
   1481.620 2.3497135162e+00 
   1481.962 2.2729486465e+00 
   1482.303 2.5090677261e+00 
   1482.645 2.7907003403e+00 
   1482.986 2.9088973999e+00 
   1483.327 2.5264261246e+00 
   1483.669 2.4496196747e+00 
   1484.010 2.5619560242e+00 
   1484.353 2.7710012436e+00 
   1484.694 2.3861721039e+00 
   1485.036 2.8540073395e+00 
   1485.378 2.7081542969e+00 
   1485.720 2.0023422241e+00 
   1486.062 2.5932006836e+00 
   1486.404 2.6369749069e+00 
   1486.747 2.5808980942e+00 
   1487.089 2.3773458481e+00 
   1487.432 2.5176261902e+00 
   1487.774 2.9398010254e+00 
   1488.116 2.6277490616e+00 
   1488.459 2.3683567047e+00 
   1488.802 2.5046808243e+00 
   1489.145 2.6043060303e+00 
   1489.488 2.5480825424e+00 
   1489.831 2.3754081726e+00 
   1490.174 2.3205465317e+00 
   1490.517 2.5351427078e+00 
   1490.861 2.4487100601e+00 
   1491.203 2.6008674622e+00 
   1491.547 2.7606088638e+00 
   1491.890 2.8126468658e+00 
   1492.235 2.3645256042e+00 
   1492.578 1.9929437637e+00 
   1492.921 2.6802240372e+00 
   1493.265 2.9742755890e+00 
   1493.609 2.2939052582e+00 
   1493.953 1.8560352325e+00 
   1494.297 2.6474054337e+00 
   1494.642 2.9600234985e+00 
   1494.985 2.8775585175e+00 
   1495.329 3.0040073395e+00 
   1495.674 2.7734292984e+00 
   1496.018 2.5215900421e+00 
   1496.363 3.0273441315e+00 
   1496.708 2.4335340500e+00 
   1497.053 2.6890785217e+00 
   1497.397 2.8619375229e+00 
   1497.742 2.3140125275e+00 
   1498.087 2.2755081177e+00 
   1498.432 2.6936895370e+00 
   1498.777 2.9332796097e+00 
   1499.122 2.5015172958e+00 
   1499.468 1.9922897339e+00 
   1499.812 2.4485103607e+00 
   1500.158 3.0822052002e+00 
   1500.503 2.7878650665e+00 
   1500.849 2.0656732559e+00 
   1501.195 2.5270429611e+00 
   1501.540 2.5542079926e+00 
   1501.886 2.4675168991e+00 
   1502.232 2.5032094955e+00 
   1502.578 2.4497171402e+00 
   1502.924 2.3051849365e+00 
