# seed: (numpy internal)
# N: 155
# minAmplitude: 0.3891415
# maxAmplitude: 0.9823132
# minSigma: 14.0007560
# maxSigma: 17.9985816
# minX0: 2794.6671558
# maxX0: 2808.8111477
# minAlpha: 1.4560285
# maxAlpha: 1.6559994
# chi2 amplitude sigma x0 alpha
0.0176870 0.5990605 16.2554837 2801.9495877 1.5627759
0.0309586 0.5966648 16.6416943 2801.6963440 1.5503461
0.0549557 0.6277171 16.0683221 2801.4667004 1.5420089
0.0709319 0.5848246 16.1913749 2801.7799914 1.5716521
0.0739199 0.5960114 17.0261152 2801.5275743 1.5270638
0.0805508 0.6163397 15.6072609 2802.1050122 1.5768592
0.0882283 0.5893835 15.9866646 2801.7244417 1.5661166
0.0886644 0.6143077 16.8117446 2801.3012671 1.5090150
0.0894931 0.6160592 16.5785662 2801.0644839 1.5237441
0.0984788 0.6475366 16.1663478 2801.7406367 1.5454889
0.0996011 0.6278664 16.4489280 2802.0531946 1.5619840
0.1079887 0.5801452 16.1792917 2801.7553536 1.5798066
0.1166929 0.6415298 15.3975624 2802.0207132 1.5842842
0.1179555 0.5731911 16.4837750 2801.7959049 1.5540058
0.1183278 0.5968765 15.7714319 2801.7340514 1.5947413
0.1198974 0.6302165 16.0709803 2801.2590782 1.5317238
0.1208852 0.5930973 16.9187454 2802.3786579 1.5337029
0.1209577 0.6056961 16.1193199 2801.6244364 1.5327983
0.1260739 0.6072522 16.6840628 2801.0887200 1.5573451
0.1317031 0.6314509 15.9650889 2802.2701382 1.5409123
0.1321101 0.5817367 16.9839921 2802.0890526 1.5523403
0.1330442 0.6464639 16.2945961 2801.2774785 1.5360290
0.1364551 0.5824100 16.3796222 2801.4962274 1.5842536
0.1365490 0.6467456 15.7832107 2802.4313684 1.5662338
0.1373092 0.6214551 16.3505984 2802.5607293 1.5374240
0.1431329 0.6212203 16.3597772 2801.6770330 1.5115736
0.1452247 0.5919653 17.0607487 2800.9089198 1.5214618
0.1456713 0.6603384 15.8487538 2801.7715729 1.5562645
0.1463492 0.6318378 16.8991079 2801.3518254 1.5064397
0.1477048 0.5884368 16.5973760 2801.0137074 1.5261434
0.1479294 0.6156896 16.8343593 2800.8392328 1.5120466
0.1513107 0.6479454 16.3418846 2801.8751574 1.5239578
0.1587763 0.5895774 17.0830325 2802.1679620 1.5500230
0.1600131 0.5814018 16.5027659 2801.0416842 1.5690966
0.1613956 0.6340676 15.7417764 2802.6746993 1.5683259
0.1664632 0.6113009 16.0763273 2802.5196247 1.5937021
0.1681724 0.5797821 16.6602446 2800.9062201 1.5497306
0.1715581 0.5970084 17.0836653 2800.8126131 1.5021363
0.1719344 0.6023031 17.1161937 2801.1817611 1.4822715
0.1761116 0.6382765 16.7008165 2802.0047890 1.5405300
0.1806465 0.6282122 15.2936503 2801.5453021 1.5983613
0.1818538 0.6308132 16.7324081 2801.6541133 1.4916903
0.1849129 0.6048801 16.9385048 2801.4395298 1.4835070
0.1858202 0.5934363 17.0056763 2801.4539213 1.4869682
0.1949812 0.5917412 16.3257273 2802.3689579 1.5951393
0.1951484 0.6256849 16.2009017 2800.6336575 1.5558928
0.1962929 0.5933189 17.6702016 2801.6232590 1.4941330
0.1970915 0.6305311 16.6123484 2800.7023659 1.5220037
0.1988016 0.5692280 16.2236855 2801.4236493 1.5798737
0.2010391 0.5860212 16.2201123 2801.5257904 1.5998682
0.2013037 0.5649735 16.3768759 2801.4820775 1.5617651
0.2022766 0.5767888 16.5598386 2802.4137765 1.5373894
0.2034629 0.6006690 17.1397095 2801.7073680 1.4765967
0.2069840 0.6302182 15.5040379 2801.8380153 1.6095937
0.2086806 0.5636046 16.5832394 2801.4546650 1.5458997
0.2097168 0.5897481 17.3427526 2802.4215698 1.5099008
0.2102252 0.5920792 16.9318089 2800.7676163 1.5012141
0.2116634 0.6294873 17.0009267 2802.0312538 1.4893341
0.2159933 0.6628033 16.0020195 2801.4229151 1.5635767
0.2165118 0.6320124 17.0542790 2802.1124157 1.5139791
0.2171914 0.6422413 15.6298072 2802.7900864 1.5785177
0.2218184 0.6043835 16.5161102 2802.9243849 1.5690767
0.2227900 0.5977658 17.5583743 2800.9363528 1.4691565
0.2244257 0.6266356 15.4357494 2801.6395354 1.6109708
0.2270701 0.6444974 16.2019340 2801.0277572 1.5150934
0.2271951 0.6550805 15.9571553 2801.8956995 1.5847055
0.2282252 0.6208958 15.5932397 2802.3049617 1.5531145
0.2302459 0.5955755 17.8242071 2801.2593185 1.4692379
0.2303526 0.5903504 16.2317723 2801.3014306 1.6007613
0.2307529 0.5914850 17.8548514 2801.4269994 1.4766415
0.2351507 0.6401441 16.7712986 2801.2623771 1.5407603
0.2354449 0.5904329 17.8501746 2801.7025231 1.4786748
0.2355091 0.6126943 16.2717523 2802.3223697 1.5987494
0.2369103 0.5703895 16.9403419 2802.5187032 1.5627819
0.2382404 0.5975710 16.9392791 2800.4701830 1.5269183
0.2394703 0.6264217 16.7412297 2802.5174361 1.5570902
0.2415731 0.5577797 16.6432424 2801.4318646 1.5660570
0.2415800 0.6130322 17.6786653 2801.2749565 1.4785572
0.2416918 0.5985483 17.8626833 2801.5852628 1.4691124
0.2436803 0.6531437 15.8012022 2801.5635475 1.5287653
0.2454902 0.6558231 15.7652892 2801.2500552 1.5876220
0.2456464 0.6203504 16.5491918 2802.0070902 1.5850609
0.2456650 0.6641960 15.6886355 2802.2843164 1.5488594
