# seed: 1783859816468666200
# N: 155.000
# minAmplitude: 0.3895470010902611
# maxAmplitude: 0.975344215603168
# minSigma: 14.000058843979076
# maxSigma: 17.99999347355918
# minX0: 2794.5799378411184
# maxX0: 2808.820516381733
# minAlpha: 1.4560239066796752
# maxAlpha: 1.655957151344219
# chi2 amplitude sigma x0 alpha
0.0244825 0.6194244 16.4634181 2801.7258061 1.5480461
0.0276496 0.6045737 16.3750288 2801.3430668 1.5516208
0.0304334 0.6117344 16.3227282 2801.5377793 1.5662824
0.0563263 0.5907383 16.3239748 2801.5908218 1.5728574
0.0565600 0.6165627 16.4697538 2802.1712376 1.5358490
0.0641235 0.5915806 16.3477753 2801.8952452 1.5433557
0.0703319 0.5903008 16.5307483 2802.1782438 1.5648982
0.0723468 0.6290123 16.6177166 2801.6453846 1.5309150
0.0757452 0.6326178 15.8720524 2801.6903896 1.5842454
0.0790403 0.5896134 16.9843581 2801.7818114 1.5209449
0.0867693 0.6144080 16.2791422 2802.1481652 1.5797825
0.0870775 0.6054499 16.4750465 2802.1621115 1.5281690
0.0905751 0.6341926 16.2562826 2802.2873643 1.5556031
0.0931476 0.6069295 16.7598150 2801.1735262 1.5463228
0.0991097 0.5850147 16.3995767 2802.1341634 1.5461574
0.0995658 0.5782266 16.8293066 2801.5217518 1.5331946
0.1052868 0.5766262 16.7760314 2801.4825674 1.5524430
0.1057080 0.6126820 16.8028772 2802.1965978 1.5178091
0.1092167 0.6246291 15.6877059 2802.4770409 1.5823875
0.1092752 0.6165657 16.3104391 2800.9144901 1.5381051
0.1169632 0.6116428 17.1639655 2801.6199847 1.5128078
0.1188087 0.6136658 16.9755191 2801.0773049 1.5165469
0.1231618 0.5722429 16.6557276 2801.7428318 1.5438614
0.1238639 0.6251702 16.8684247 2801.1937587 1.5101384
0.1280564 0.5902455 16.2418631 2802.0841604 1.5912836
0.1283078 0.5972185 17.0050873 2802.2347379 1.5140233
0.1288584 0.6402372 16.5164075 2801.9566190 1.5237008
0.1294229 0.5784820 16.5302119 2801.3753548 1.5721849
0.1307559 0.6052864 16.4819064 2801.5916526 1.5121692
0.1328936 0.6058250 16.2245873 2800.8452376 1.5474451
0.1380955 0.5869538 16.7220055 2800.9110211 1.5364807
0.1392180 0.6309739 16.3235495 2802.5514121 1.5583691
0.1433505 0.5853690 16.2601880 2801.7376760 1.5924471
0.1440896 0.6256687 16.2129954 2802.2907466 1.5285625
0.1440959 0.5995153 17.3664240 2801.2323920 1.4994451
0.1476141 0.6390594 15.3263741 2802.1372782 1.5908210
0.1479150 0.5730385 16.9759832 2802.1296110 1.5349660
0.1524825 0.6212866 16.5638744 2802.2778014 1.5673085
0.1551462 0.6060066 16.6273755 2800.6972588 1.5321178
0.1563538 0.5853913 17.2232601 2801.9937772 1.5017369
0.1606227 0.6341156 16.6109172 2801.7942634 1.5024819
0.1648242 0.5966187 16.4869391 2802.5890484 1.5782157
0.1656446 0.6025592 15.8011590 2800.9924125 1.5779523
0.1661577 0.6265705 15.8189925 2802.7574142 1.5680083
0.1823061 0.6036784 16.1125372 2800.7111961 1.5662185
0.1946371 0.6051991 15.4604923 2802.3577929 1.5913461
0.1947669 0.6169857 15.7977579 2801.0606420 1.5969149
0.1956926 0.5819976 15.9449909 2802.4423315 1.5742875
0.2002057 0.6390269 15.8394117 2802.7719179 1.5796515
0.2008888 0.5923759 16.7023215 2802.6282206 1.5257616
0.2009557 0.6240222 16.9908343 2802.1456338 1.4927403
0.2015196 0.6129050 16.3342669 2801.9000087 1.5099390
0.2047976 0.6581643 15.4452898 2801.6753232 1.5563621
0.2057657 0.6608452 15.7641133 2801.2143373 1.5487454
0.2081710 0.6293676 15.5720730 2800.9285464 1.5876809
0.2085865 0.6046341 16.3915624 2801.7205490 1.5079737
0.2100866 0.5825336 17.4527514 2800.9633929 1.4887236
0.2111813 0.5708977 16.3367264 2801.5218287 1.5904432
0.2140404 0.5674255 16.7129212 2801.4778187 1.5776009
0.2211569 0.5973918 17.3038498 2800.6459287 1.4996334
0.2222086 0.5643627 17.2562987 2801.2163664 1.5330313
0.2244663 0.6103654 16.0221769 2800.6536388 1.5785034
0.2252140 0.6448562 15.7292859 2802.4910970 1.5476440
0.2255889 0.6406579 16.5881147 2801.3949589 1.5571424
0.2266739 0.6232394 16.3366975 2800.6119177 1.5625647
0.2300772 0.6282519 16.1679028 2801.4376719 1.5094900
0.2303802 0.6032756 15.4085587 2801.8966465 1.5743331
0.2316810 0.6203009 15.6400408 2800.7661121 1.5756724
0.2324943 0.6368245 16.5785679 2802.0137175 1.4965228
0.2340404 0.5717806 16.5176070 2802.1531650 1.5328358
0.2344802 0.5964289 17.1245417 2800.6430740 1.5323269
0.2345059 0.5797990 17.2873215 2801.3371466 1.4800685
0.2348374 0.5959155 17.2049704 2800.8464935 1.5382896
0.2351179 0.5922251 17.4905166 2800.7043925 1.4913843
0.2359169 0.6276532 16.5273345 2801.0636869 1.4933605
0.2431884 0.6081048 16.9050847 2801.7650252 1.5712121
0.2453413 0.5943122 16.2925154 2801.6403232 1.6049010
0.2470198 0.5975339 16.1964763 2800.6379982 1.5416476
0.2481475 0.5842689 16.0066615 2802.2146823 1.6076809
0.2490915 0.6233948 17.5044840 2801.5866937 1.4644400
0.2504362 0.5976941 16.5807018 2800.4404242 1.5317459
0.2505671 0.5748456 16.7094819 2801.7820857 1.5108618
0.2530087 0.5698846 17.5579750 2801.2285903 1.4844936
0.2539764 0.6096798 17.0062323 2800.4802348 1.4959407
0.2540871 0.6304667 16.2047519 2800.9215766 1.5113424
0.2541786 0.6125663 15.9058890 2800.7753291 1.5425967
0.2550785 0.6250546 16.1253417 2801.6973863 1.5102906
0.2558967 0.5987894 17.4863503 2800.7065336 1.5059762
0.2561149 0.5722684 17.2221734 2802.1526297 1.5601287
0.2584551 0.6102036 16.7953534 2802.7569987 1.5127640
0.2628585 0.5984818 17.0585420 2802.2892234 1.5656098
0.2690422 0.6726235 16.0308619 2801.5634234 1.5528776
0.2706591 0.6518532 15.9268117 2801.8765270 1.5205142
0.2786743 0.5771703 17.5634662 2801.8286451 1.5401018
0.2816857 0.5826657 17.9629157 2801.8655597 1.4666506
0.2832722 0.5845476 16.5456162 2800.5241243 1.5657193
0.2847245 0.5931569 16.3839624 2803.0262034 1.5468066
0.2851778 0.6055850 16.7854073 2802.5797554 1.5777223
0.2855498 0.6765333 15.6837852 2802.2016755 1.5549554
0.2894720 0.6094023 17.1397516 2802.1011606 1.4693219
0.2901667 0.5715233 17.9278029 2801.4215826 1.5004601
0.2930713 0.6311316 16.4299071 2802.7348148 1.5174309
0.2969637 0.5714073 16.7450366 2801.3071796 1.5890334
0.2969695 0.5564078 16.2628970 2801.6863061 1.5848477
0.2974591 0.5772347 17.8744027 2801.9139254 1.5099588
0.2984346 0.5723558 15.7295231 2801.7266097 1.5794994
0.2993122 0.6728316 15.2004989 2801.5486832 1.5936859
0.3006393 0.6259811 17.0951747 2802.4965474 1.4890023
0.3032470 0.5610629 16.4574406 2802.4636127 1.5539098
0.3041962 0.6651898 15.1022006 2801.5257750 1.5718127
0.3045499 0.6316237 15.9495565 2803.1285495 1.5594790
0.3108071 0.6354494 16.4720143 2800.7133237 1.4948209
0.3153254 0.5531583 17.0543438 2801.4961864 1.5678569
0.3161772 0.6001012 17.9904866 2800.9909345 1.4762863
0.3192032 0.6415610 17.1631953 2801.7290600 1.5177884
0.3194075 0.6591168 16.3783001 2802.5677798 1.5422408
0.3200265 0.6178045 17.2097119 2802.5141791 1.5388334
0.3203926 0.6132175 15.9601333 2800.3679003 1.5601050
0.3204955 0.5890285 16.1398804 2803.1316370 1.5850347
0.3208402 0.5985405 17.0690956 2801.7818682 1.4655525
0.3216394 0.6552819 16.5763805 2801.1083584 1.5449592
0.3222189 0.5682048 17.9406262 2801.4158415 1.4604123
0.3230352 0.6402717 15.7106847 2802.9922044 1.5580889
0.3237093 0.6117883 16.1551113 2801.2821663 1.5070495
0.3248953 0.5980093 16.4452312 2800.6126172 1.5105269
0.3254776 0.6814396 15.9587868 2801.7240359 1.5432075
0.3270598 0.6746554 15.0344558 2802.0520575 1.5797869
0.3273115 0.5957501 17.3375290 2802.0881240 1.5575997
0.3286782 0.6154771 16.3447592 2800.2343711 1.5356326
0.3289093 0.6440822 16.1921799 2801.0599838 1.5862312
0.3322032 0.5601878 17.2563983 2802.6401477 1.5441676
0.3346621 0.6771853 15.7587553 2802.2193977 1.5778961
0.3353904 0.5842506 17.3652023 2800.5176308 1.4735875
0.3362680 0.5916132 17.0288288 2802.6717361 1.4952127
0.3370071 0.6322690 17.4712986 2801.9008824 1.5001246
0.3373418 0.5889420 17.6771953 2802.5452675 1.4789889
0.3394005 0.5832703 17.1817092 2800.7037343 1.4746753
0.3415188 0.5809216 17.6120350 2802.7040850 1.5000919
0.3416592 0.6251015 15.1575809 2801.0587408 1.5843350
0.3430184 0.6271563 16.3340047 2802.5254308 1.5967393
0.3511475 0.6492330 16.4728672 2800.6210675 1.4982819
0.3517192 0.6349942 17.1079777 2800.7633374 1.4566003
0.3569001 0.5946124 16.7612344 2800.2548907 1.5088247
0.3592793 0.5754877 15.8522595 2802.6817027 1.6031686
0.3598890 0.6232708 16.8754313 2801.4287961 1.4590252
0.3613160 0.6854145 15.3284592 2801.6006716 1.5883643
0.3613684 0.6514062 16.9370119 2802.1303821 1.4827836
0.3613697 0.6351039 17.5282808 2801.5840482 1.4955134
0.3622057 0.5446734 16.9517601 2801.8512842 1.5694510
0.3627307 0.6313880 17.7225637 2801.4682891 1.4756649
0.3628859 0.5860224 15.9756040 2801.3092728 1.5328871
0.3638553 0.6106021 17.3871135 2800.2623116 1.4664150
0.3649412 0.5902578 17.8090231 2800.9738907 1.5183429
0.3652338 0.6635661 15.9113384 2800.6933243 1.5325377
0.3655408 0.6328165 15.6370253 2801.0120449 1.5334560
0.3662859 0.6741358 16.2545266 2802.1992063 1.5474009
0.3664216 0.5976868 16.1419947 2803.2328861 1.5928770
0.3664369 0.6107544 16.3052689 2802.8896469 1.6009155
0.3667502 0.5522391 17.0131878 2802.2279739 1.5228102
0.3670677 0.6380378 16.3325352 2803.0427312 1.5296737
0.3685231 0.5842277 15.9802647 2803.0936603 1.5936461
0.3708525 0.6080045 16.8215348 2800.1815043 1.4980397
0.3721852 0.5756118 16.6721141 2802.5980191 1.5987331
0.3748772 0.6168807 17.6373869 2801.9341216 1.5173413
0.3755176 0.5970898 16.2111626 2802.2811913 1.5145870
0.3767701 0.5551632 16.6421518 2801.2538004 1.5294879
0.3819187 0.6147256 16.0186199 2802.4284299 1.6177350
0.3832473 0.5751697 15.6726395 2801.9195705 1.5646971
0.3850857 0.5779508 16.0607864 2802.7690743 1.6091300
0.3863963 0.5706163 17.8853713 2800.5749943 1.4614934
0.3873882 0.5466167 16.9683676 2801.4759595 1.5254034
0.3880060 0.6128292 15.8668138 2800.2920842 1.5589210
0.3882277 0.6487226 16.0682969 2800.9314325 1.5914447
0.3887083 0.5513537 17.6397914 2800.9754350 1.5249937
0.3890885 0.6447423 15.6144571 2801.2720448 1.6152279
0.3892395 0.6666265 16.3120002 2802.2104697 1.5654905
0.3907906 0.6500541 17.2830723 2801.8205239 1.4933029
0.3909066 0.6646720 16.7348669 2801.6071488 1.4815791
0.3914830 0.5719886 15.9871582 2801.1324940 1.6101841
0.3916348 0.5809066 15.4804882 2801.4853980 1.5761446
0.3921450 0.5797547 16.4155746 2800.4453094 1.5318235
0.3942524 0.5574186 16.3213138 2800.9824746 1.5553025
0.3950599 0.6587896 15.8206559 2802.8013218 1.5387211
0.3951681 0.6437672 16.9311463 2800.4166859 1.5113882
0.3954583 0.5559832 16.9499531 2801.0924825 1.5812194
0.3964054 0.6723202 16.3186387 2802.2916988 1.5513209
0.3976983 0.6396615 16.5865535 2802.8235868 1.5053972
0.4010471 0.6711801 15.9567577 2800.7540723 1.5276039
0.4010577 0.6097246 17.3392388 2802.5575526 1.5489451
0.4033455 0.6389502 15.4409244 2803.2069940 1.5834671
0.4041765 0.6735434 16.3699202 2800.9707832 1.5324337
0.4061342 0.6631411 16.3263351 2801.0059394 1.5636417
0.4070047 0.5811962 17.3782396 2800.2093626 1.4823928
0.4082909 0.5919469 17.2949248 2802.3105762 1.5708611
0.4094326 0.6240987 16.5970613 2803.0407843 1.5112379
0.4115787 0.6521515 16.6804582 2800.4783808 1.5282839
0.4121112 0.6695738 16.5072668 2801.6193493 1.5487894
0.4155315 0.6354606 15.8124003 2800.7887791 1.5211293
0.4161259 0.5920102 16.3353471 2800.1262748 1.5512423
0.4169920 0.5808716 17.3033777 2800.8570830 1.5661484
0.4188981 0.5524280 17.4222799 2800.7329796 1.5039229
0.4192330 0.5715096 16.4158284 2802.3271463 1.6139212
0.4195085 0.5729696 17.1474727 2800.2428272 1.5032887
0.4198738 0.6825686 15.3465184 2801.9256363 1.5462770
0.4205459 0.5402259 16.8925726 2801.3246413 1.5592553
0.4207104 0.5700833 17.0317926 2800.5722642 1.4923162
0.4216154 0.5453289 17.7170662 2801.0798188 1.5123081
0.4237023 0.6543743 15.5317010 2801.4056941 1.6162839
0.4237278 0.5825401 16.9421748 2802.8873806 1.5859632
0.4243441 0.6224365 17.3056045 2801.4134443 1.5487896
0.4245922 0.6567171 16.8254013 2802.1778087 1.4784579
0.4260481 0.5908769 17.1114701 2800.1403580 1.5433752
0.4279746 0.6300640 16.3427014 2802.8241793 1.5970088
0.4281187 0.5695030 16.1744947 2801.6779582 1.5293586
0.4290312 0.6332159 15.7740408 2802.4350712 1.6205187
0.4292275 0.6031321 16.9504606 2799.9418992 1.5121998
0.4304096 0.6155346 16.6187420 2800.7983890 1.4725054
0.4309819 0.5919587 16.5496645 2800.0255585 1.5448182
0.4330253 0.6551730 16.9534230 2802.2065427 1.5305923
0.4332271 0.6327127 15.2207591 2801.0544481 1.6189131
0.4332664 0.5747175 16.1466228 2800.6240143 1.5990569
0.4338838 0.5864493 16.7887769 2802.9199170 1.5070690
0.4356597 0.5929214 17.9494961 2802.6280918 1.4591305
0.4377523 0.5718143 17.7548371 2802.8982359 1.5117219
0.4386728 0.5510938 16.2276370 2801.5572046 1.5548537
0.4393312 0.6472005 15.5534857 2802.3167344 1.6207034
0.4397510 0.5995731 16.2125105 2800.5282915 1.6030037
0.4407069 0.6656355 15.6809291 2800.8466770 1.5277279
0.4409931 0.6411515 16.2021450 2801.7650294 1.6062465
0.4412425 0.5560660 16.3756383 2801.2310360 1.6047207
0.4415759 0.6511121 15.9703466 2802.2486694 1.5084315
0.4426070 0.6411763 15.6526305 2800.3599864 1.5893070
0.4429533 0.6665225 15.6821445 2802.0413421 1.6080673
0.4441334 0.5686518 17.7360377 2800.2707520 1.4776893
0.4441403 0.6302172 15.1762480 2801.9311756 1.6276707
0.4449678 0.5914526 17.7594568 2802.8516264 1.4747833
0.4462072 0.5757722 16.4732330 2800.2408720 1.5715965
0.4471252 0.6336605 15.0975376 2802.6803224 1.5733059
0.4476833 0.5842601 17.8644368 2802.0933077 1.5371675
0.4477549 0.6434219 15.7614797 2803.3252804 1.5912067
0.4486223 0.6313341 16.9667257 2803.1240121 1.5127348
0.4488574 0.6871094 14.8400545 2802.0808880 1.5910003
0.4490947 0.6217431 16.4513249 2800.3564486 1.4920179
0.4491030 0.5590514 16.9337622 2802.6753301 1.5903516
0.4495450 0.6629967 16.9851068 2801.8736914 1.4710227
0.4502105 0.5439388 17.2301775 2800.9094636 1.5233443
0.4513759 0.6261844 15.4092818 2801.7359639 1.5390198
0.4517461 0.6592813 16.4910747 2800.4745757 1.5397126
0.4524252 0.6991938 15.1862254 2801.6316704 1.5823324
0.4526919 0.6177781 15.8861437 2800.8664379 1.5166033
0.4541171 0.6553556 17.1933286 2800.8788105 1.4971061
0.4548435 0.6505877 15.4690588 2800.7215314 1.6068736
0.4548573 0.6328366 16.3370411 2799.9983343 1.5350035
0.4553176 0.5440469 17.3250787 2801.4223924 1.5688556
0.4554057 0.6047323 16.1450053 2801.1661560 1.5014034
0.4575380 0.6739185 15.3094048 2802.9509076 1.5894184
0.4577986 0.5835560 17.0821372 2800.9928201 1.5860988
0.4581180 0.6735512 15.6220846 2802.6781700 1.5419094
0.4584130 0.6983284 15.1731809 2801.7476419 1.5887468
0.4600958 0.5959916 16.6401309 2803.2647996 1.5895392
0.4625643 0.5659713 16.1368853 2800.8034780 1.6038239
0.4634238 0.6185842 15.6985966 2801.9153088 1.5232882
0.4637354 0.5443732 16.3419042 2801.4518325 1.5617487
0.4640213 0.5691977 15.8599022 2801.8794477 1.6232821
0.4656809 0.5878538 15.2226067 2802.3583908 1.5923165
