# seed: 1783952833223507600
# N: 155.000
# minAmplitude: 0.3896323237361039
# maxAmplitude: 0.9751022407753198
# minSigma: 14.000132416347462
# maxSigma: 17.999881274274077
# minX0: 2794.649320952877
# maxX0: 2808.898012409254
# minAlpha: 1.4560053957759715
# maxAlpha: 1.6559925023245559
# chi2 amplitude sigma x0 alpha
0.0253017 0.6290252 16.0344225 2801.7134602 1.5519580
0.0508080 0.6117237 16.1369307 2801.3021726 1.5466953
0.0615142 0.6009073 16.2028582 2802.3101913 1.5559822
0.0619828 0.5979244 16.1982125 2801.3939345 1.5481574
0.0652757 0.6139449 16.6329316 2802.1937714 1.5442038
0.0711594 0.6281739 15.8370098 2801.4702324 1.5830655
0.0748534 0.5826750 16.8271100 2801.6097684 1.5450963
0.0776640 0.5991238 16.5078133 2801.3474811 1.5261145
0.0829034 0.6366602 16.4595341 2801.6017435 1.5321638
0.0833234 0.5836916 16.1405636 2801.8631861 1.5730562
0.0863703 0.6380190 15.6180089 2801.4285463 1.5721959
0.0878001 0.6145730 16.1929043 2801.9536194 1.5319492
0.0928511 0.6459600 16.0899604 2801.4817351 1.5534824
0.1004084 0.6167891 16.8665899 2801.1707116 1.5126944
0.1051366 0.6352975 16.2021783 2802.1332747 1.5335427
0.1089509 0.6478543 16.1203764 2801.4237161 1.5442959
0.1092459 0.6025658 15.6654441 2801.9075505 1.5935147
0.1116109 0.6179986 16.0314477 2801.0671905 1.5442233
0.1208973 0.6362311 16.6202197 2801.8589947 1.5378629
0.1273427 0.5932606 16.0477069 2802.5279186 1.5787373
0.1398277 0.6217516 15.6654685 2801.7387794 1.6024775
0.1439007 0.5791558 16.7231854 2802.2944807 1.5667933
0.1499554 0.5835779 15.8625955 2802.0676913 1.5804245
0.1511066 0.6310910 16.3871024 2802.5888754 1.5470680
0.1542199 0.6332979 15.7574954 2802.0493977 1.5436148
0.1586679 0.5784072 16.1564518 2801.7093115 1.5913745
0.1601405 0.5879295 17.1912731 2800.9502416 1.5077849
0.1621012 0.5986862 17.4735119 2801.2514722 1.4897196
0.1625528 0.5924641 16.9130736 2801.7738867 1.5667360
0.1644838 0.6126546 16.9800914 2802.1244255 1.5461578
0.1656029 0.6150118 16.0031777 2802.8415645 1.5714286
0.1713771 0.5778322 17.0435844 2801.1319578 1.5471124
0.1721780 0.5781258 16.1385744 2801.4335789 1.5889578
0.1756378 0.6092877 15.9342920 2801.8361251 1.6056628
0.1797250 0.5832050 17.3824776 2801.0319892 1.5104355
0.1848341 0.6192031 17.2110147 2801.0788862 1.5077837
0.1892404 0.6623256 15.8318185 2801.4903235 1.5701921
0.1898179 0.6576132 15.7208745 2802.3767635 1.5770586
0.1923765 0.5879261 17.0432851 2802.5921812 1.5420599
0.1931858 0.6025132 15.7706398 2801.2866351 1.6025524
0.1966225 0.5922150 15.9128645 2801.1249334 1.5942201
0.1973784 0.5878018 17.3853037 2801.7385779 1.5368405
0.1979299 0.6254050 17.1372150 2801.0690467 1.4827611
0.1985367 0.5927349 16.5430678 2800.8917664 1.5745814
0.2009551 0.5653683 16.6761355 2801.2294385 1.5611273
0.2023856 0.6261025 16.8927610 2802.0238809 1.4897275
0.2029757 0.5983361 16.8185045 2802.7426651 1.5279565
0.2036304 0.5890092 15.6058977 2802.0443717 1.5958950
0.2054562 0.5865586 15.7506247 2802.2993164 1.5965148
0.2056181 0.6506052 16.5434132 2801.7630340 1.5093918
0.2069205 0.6691973 15.7791628 2801.7746740 1.5658072
0.2072125 0.6217185 15.4093221 2802.4530335 1.6011424
0.2093704 0.6587472 15.9589226 2801.8083559 1.5300242
0.2104367 0.6086989 16.2218707 2802.1713956 1.6007354
0.2110968 0.5964976 16.8420624 2802.7391687 1.5579947
0.2115558 0.5622353 17.0256308 2801.6167805 1.5243040
0.2119372 0.6038076 16.0393248 2801.3034494 1.6032133
0.2122932 0.6460968 16.0733524 2802.6989717 1.5529173
0.2123022 0.6071488 16.7189331 2800.5323127 1.5189148
0.2126487 0.6406782 15.4484956 2802.1110255 1.6060399
0.2136329 0.5748897 16.4971644 2802.6470154 1.5563225
0.2179744 0.5721476 17.3294431 2801.8794381 1.4970425
0.2205966 0.5661177 16.5903491 2801.4417079 1.5357854
0.2252962 0.6400282 16.4022639 2801.6643835 1.5743189
0.2318343 0.5922761 16.8461140 2800.7374174 1.5585869
0.2333012 0.6270387 17.1144313 2801.8722825 1.4756742
0.2341398 0.5888258 16.5476798 2802.7467181 1.5821145
0.2367765 0.5757470 17.5891755 2801.9190567 1.5256277
0.2392778 0.6043687 17.1610831 2802.6710457 1.5146048
0.2398958 0.5677751 17.3784800 2801.4469104 1.5431443
0.2489187 0.6409160 16.7817545 2801.8581280 1.5464008
0.2493012 0.6566816 15.7008405 2801.0645125 1.5436799
0.2500961 0.5574695 16.6874284 2802.1704654 1.5697625
0.2520217 0.6393265 15.6777906 2801.2391667 1.6029705
0.2526412 0.6448720 16.8885716 2801.5935554 1.4844366
0.2571169 0.6245227 15.5599232 2800.7521685 1.5824084
0.2606246 0.5745559 16.2386698 2801.1677191 1.5428618
0.2612858 0.5698520 16.9474749 2801.1169675 1.5070249
0.2621468 0.5698169 16.3340593 2800.9282891 1.5728146
0.2647499 0.6577103 16.0591073 2801.0958579 1.5212234
0.2651669 0.6039729 16.1263454 2800.4987382 1.5725480
0.2673043 0.6144890 16.3054702 2800.5508691 1.5740340
0.2681003 0.5892988 17.3185462 2802.7164411 1.5220089
0.2711787 0.5928896 17.4958239 2801.5329377 1.5381847
0.2730913 0.6425970 16.4920304 2801.4232668 1.5695781
0.2744222 0.5572834 17.0700821 2801.1213800 1.5314150
0.2757031 0.5721039 17.2197505 2801.6240887 1.4854851
0.2781156 0.6259869 16.6863405 2800.7060490 1.5554773
0.2785922 0.6175231 15.9503564 2801.4044334 1.6108975
0.2814780 0.5691514 16.3400957 2802.7419074 1.5782850
0.2834752 0.5948334 17.8030398 2800.7095851 1.4661254
0.2863349 0.6177358 16.5138825 2800.9781799 1.5829526
0.2863753 0.5629966 16.8330969 2802.3383236 1.5798478
0.2877259 0.6024779 16.9722003 2800.8432984 1.5614226
0.2885985 0.6090427 16.0600205 2800.5430565 1.5401566
0.2888113 0.6445692 16.5508201 2800.8302154 1.4947072
0.2898453 0.6227417 17.5105852 2800.7514881 1.4720727
0.2902615 0.5687582 17.9559561 2801.6844446 1.4834266
0.2908862 0.6583745 15.6214367 2802.1524527 1.5392836
0.2979188 0.6002771 17.6957139 2802.3883957 1.4851740
0.3019883 0.5738296 17.5461445 2800.6321470 1.5074539
0.3026767 0.5770386 17.9459725 2801.8600624 1.5028313
0.3027722 0.6352955 16.2678424 2800.4295885 1.5262564
0.3028530 0.6192917 16.8712044 2802.3675864 1.4845732
0.3042098 0.6764063 16.0353478 2801.5715954 1.5521676
0.3074055 0.6239660 17.2242765 2802.2432638 1.5338052
0.3075313 0.6042578 17.6914203 2800.5877140 1.4831529
0.3079065 0.5838045 17.1857042 2802.1994478 1.4810369
0.3089702 0.5989549 17.0075517 2801.6916559 1.5774693
0.3092330 0.5597401 17.6005890 2801.9360099 1.4937901
0.3109914 0.5652142 17.3178005 2800.7833159 1.5377119
0.3116765 0.5644532 16.1385087 2802.3215698 1.5618080
0.3118639 0.5743747 16.8283891 2801.3957477 1.4963983
0.3155968 0.5792020 17.0542246 2801.3575876 1.5784970
0.3157585 0.6044586 15.8459201 2803.1287169 1.5910303
0.3170022 0.6480414 16.3513476 2802.1302031 1.5000788
0.3173682 0.5840324 17.2165466 2800.7216474 1.4752902
0.3176148 0.6788975 15.5168963 2802.2582575 1.5574888
0.3190913 0.6232453 16.9459397 2800.3727958 1.4880386
0.3202627 0.5800664 17.7796161 2802.4431572 1.4894758
0.3209244 0.6137954 16.1717294 2800.9515937 1.5095670
0.3232917 0.6350997 15.7182809 2802.9044231 1.5521652
0.3242442 0.6849245 15.5536305 2802.0301898 1.5598268
0.3244760 0.6195376 16.6687487 2803.0728271 1.5271223
0.3250001 0.5957025 15.5358792 2800.9610459 1.5996505
0.3293610 0.6264583 16.7152041 2800.6061861 1.4820255
0.3315626 0.5913547 16.2522862 2801.2203374 1.5135421
0.3320311 0.6744914 15.5487600 2802.4968717 1.5841640
0.3321913 0.5671578 16.6328976 2801.3927800 1.5970671
0.3343870 0.6472369 16.3448738 2800.4329230 1.5325501
0.3366951 0.6063545 17.6035924 2802.4849006 1.5117828
0.3376539 0.5967796 17.1340609 2801.4304950 1.5719330
0.3380743 0.5979746 17.0218530 2803.1247170 1.5422989
0.3464153 0.6402380 17.4771770 2801.6646296 1.4609096
0.3475067 0.6561248 16.7397199 2802.1385936 1.4933318
0.3483256 0.5970050 17.1231336 2800.7767083 1.4623520
0.3483435 0.5533333 17.2851568 2800.9409935 1.5400568
0.3517296 0.6595168 15.5490600 2801.1468296 1.6016081
0.3543911 0.6385063 14.9758173 2802.4719166 1.5974301
0.3551360 0.5639169 17.9260157 2801.5904705 1.5201407
0.3552327 0.6474077 16.6233791 2801.6131107 1.5665818
0.3579277 0.6036641 15.1676780 2802.3450199 1.6007722
0.3618421 0.6429928 15.1205361 2801.0108281 1.6024706
0.3645121 0.6524425 16.3543574 2802.3929902 1.5769024
0.3665984 0.6264397 17.6368246 2801.6054661 1.5016407
0.3682291 0.5912036 17.6324765 2802.0008902 1.5424937
0.3684078 0.6672132 16.2120021 2802.3015978 1.5155671
0.3697644 0.6116184 17.4305080 2802.4990756 1.4651030
0.3702524 0.6099600 16.5026163 2803.2924859 1.5395328
0.3712704 0.5590710 17.9104776 2801.2273261 1.5170210
0.3719295 0.6422200 17.1046745 2800.6754922 1.5098366
0.3731241 0.6330804 16.8370604 2801.3085485 1.4586470
0.3731345 0.6185507 15.6593665 2801.8508523 1.6253031
0.3733000 0.6137337 16.5291067 2801.1452670 1.5968607
0.3745048 0.6305570 16.9132774 2802.5429273 1.4821943
0.3746422 0.6082865 17.9820682 2802.0840458 1.4820868
0.3748355 0.5559576 17.6900384 2802.1953461 1.5364936
0.3749315 0.6263079 16.0385094 2803.3739289 1.5718992
0.3754555 0.6677289 16.2926615 2800.9271111 1.5067403
0.3755074 0.5855132 16.7803680 2800.3775918 1.5045921
0.3772764 0.5803479 15.6173967 2801.9656767 1.5633450
0.3793246 0.6503627 16.6230770 2800.6336904 1.5411001
0.3809019 0.6385175 16.7909411 2800.6062795 1.5456090
0.3832611 0.5832532 17.0649176 2801.3098387 1.5844866
0.3833957 0.6094411 15.3146236 2801.9355146 1.6240621
0.3864477 0.6632220 15.7629644 2802.3748754 1.5288415
0.3868036 0.5594221 15.9993635 2802.1474528 1.5669135
0.3870810 0.5819092 16.7369999 2803.1403521 1.5323141
0.3871607 0.5777205 17.2235830 2802.3277399 1.4784471
0.3871762 0.6609299 16.6419986 2802.1816104 1.5446318
0.3888785 0.6453376 14.8855168 2802.3759883 1.6028957
0.3891555 0.5525720 17.6786343 2802.2873234 1.5043800
0.3899256 0.6376334 16.4647427 2800.2977772 1.5521614
0.3903217 0.6353972 14.9373998 2801.2757039 1.5901222
0.3911588 0.6185335 16.4800629 2800.5825379 1.4896478
0.3917651 0.5500814 17.7340822 2801.9592413 1.5341315
0.3918359 0.6019825 15.8097027 2801.8574747 1.6266529
0.3924425 0.6695882 16.1847061 2801.6779210 1.5011811
0.3931235 0.6228490 15.8879315 2800.2408074 1.5554712
0.3940412 0.6565612 16.6606866 2800.5426470 1.5029281
0.3961117 0.5912763 16.3262957 2801.9656880 1.6180372
0.3971564 0.5937890 16.5856631 2803.0352677 1.5208314
0.3976285 0.5785023 16.1619153 2802.8751230 1.6071739
0.3977653 0.5530067 16.9920969 2801.6651344 1.5871118
0.3986911 0.5969840 17.0805358 2800.9529056 1.5744739
0.3996416 0.6262631 15.8250612 2800.5171382 1.5343246
0.4026371 0.6637475 16.3295121 2802.0148178 1.4956572
0.4036926 0.6252984 17.5464900 2802.5767943 1.4834469
0.4080596 0.6469238 15.9654833 2800.3338622 1.5702240
0.4081852 0.6483375 17.2769823 2801.9096716 1.4578218
0.4122078 0.6086843 16.8656217 2800.1267116 1.4899183
0.4137855 0.5917980 17.0612070 2803.1520479 1.5113857
0.4141832 0.6743689 16.3859860 2801.1848941 1.4986821
0.4149445 0.5827803 17.7784864 2800.2089465 1.4655852
0.4176702 0.6071803 15.1985896 2801.5731628 1.5689517
0.4177634 0.6230022 16.3221201 2801.9413094 1.4885662
0.4192866 0.6760097 15.6107312 2802.2679215 1.5353461
0.4193555 0.5964691 15.3975145 2802.7983456 1.6081451
0.4212963 0.6456802 17.5989357 2801.5821173 1.4663308
0.4243872 0.6323356 16.9307788 2803.0165121 1.5065211
0.4251397 0.6209199 16.0492940 2802.0693170 1.5057790
0.4287693 0.6394776 16.2248648 2803.2007731 1.5342957
0.4292820 0.6768634 15.9962111 2800.7391979 1.5325937
0.4300020 0.5591670 15.7700191 2801.9490536 1.6010114
0.4304175 0.5735714 16.2280567 2802.1097057 1.6205657
0.4311331 0.5914712 17.5247381 2802.5081360 1.5533031
0.4313261 0.5563771 17.9167352 2802.4752923 1.4999733
0.4319366 0.6234190 15.8791227 2800.6440909 1.5224476
0.4329670 0.5668026 16.4020955 2802.4170265 1.5279098
0.4331561 0.6231054 15.2901657 2802.7838528 1.5670093
0.4335962 0.6604583 14.7631240 2801.9107323 1.6076321
0.4340514 0.5905021 16.9032832 2800.9813662 1.5909267
0.4357414 0.6484512 17.1523642 2801.0226465 1.5202780
0.4381207 0.6120914 17.9556811 2802.3115494 1.4892713
0.4391922 0.6301445 17.3889725 2801.1719349 1.5308495
0.4394968 0.6739521 15.9248210 2801.2010695 1.5835933
0.4403375 0.5687133 17.8661527 2801.6607337 1.5430923
0.4405790 0.5943798 15.6145394 2801.6176913 1.6290728
0.4416939 0.6272552 15.3180771 2801.4218685 1.5465014
0.4432929 0.6490126 17.5264820 2801.3012711 1.4773386
0.4453751 0.6029070 16.0852735 2803.5217812 1.5814567
0.4471825 0.5410383 17.5217554 2801.9399977 1.5521061
0.4479231 0.5780596 16.2883294 2803.3672261 1.5811948
0.4481813 0.6458317 17.5803839 2801.9545074 1.4675533
0.4516938 0.6695769 15.4179022 2800.6550007 1.5858799
0.4537051 0.5617938 16.5401434 2801.1461272 1.5161656
0.4547604 0.5841346 17.6583347 2802.8481517 1.5378911
0.4549964 0.6352585 16.2149026 2800.5073263 1.4985624
0.4579916 0.6827180 15.4842805 2800.7888524 1.5721904
0.4586504 0.5902216 16.7969581 2800.4148665 1.5819115
0.4601704 0.5462420 17.7010135 2801.0700526 1.5388089
0.4629415 0.5680061 17.0520248 2800.4690935 1.5707413
0.4631034 0.6507561 15.8217106 2802.0893823 1.5117010
0.4643818 0.6441554 16.9525031 2800.2485230 1.5141762
0.4669057 0.6188097 16.8888728 2802.7732308 1.5792761
0.4676643 0.6657860 15.9654523 2800.9687443 1.5046682
0.4697347 0.5453319 17.8269236 2802.3296532 1.5273653
0.4699220 0.5471904 16.3675987 2802.5615460 1.5914544
0.4705599 0.5808983 15.6503337 2800.9162806 1.5631424
0.4725516 0.6968543 15.7104116 2801.7627817 1.5372785
0.4727115 0.6013286 17.8493723 2800.0376610 1.4739790
0.4730664 0.5867150 17.4057547 2800.2704566 1.5430998
0.4735339 0.5848872 15.7152404 2801.4327625 1.6283129
0.4741461 0.6868167 16.3009008 2801.2541303 1.5200917
0.4759503 0.5385551 16.7718089 2801.1665586 1.5604713
0.4767202 0.6634884 15.8542428 2801.6564207 1.6066372
0.4773703 0.6383598 15.7617566 2801.2209171 1.5118801
0.4780053 0.5930613 16.1175860 2801.8098838 1.5087854
0.4788822 0.6901795 15.4499757 2800.9328313 1.5565848
0.4789609 0.6182313 17.9708465 2802.5165813 1.4566402
0.4791344 0.5588126 17.4309680 2800.5761060 1.5534139
0.4795266 0.5495999 17.5980841 2800.5590970 1.5234069
0.4799095 0.6016114 17.2488381 2799.9107380 1.4767104
0.4811163 0.6149561 17.6321458 2801.2504899 1.5344415
0.4811332 0.6080062 15.1292115 2801.0359727 1.6131883
0.4826550 0.6439269 16.3845074 2800.4696190 1.5752905
0.4833987 0.5601172 17.1080935 2800.6639744 1.4909489
0.4834067 0.6734037 15.4836647 2801.8326630 1.5286016
0.4836773 0.6309325 17.6556543 2800.7893959 1.5014416
0.4844436 0.5681038 17.3435565 2803.2269657 1.5464607
0.4863699 0.6744536 15.8812850 2803.0152543 1.5681285
0.4865878 0.5538558 17.5482688 2801.1216627 1.4677106
0.4869796 0.5882681 17.6651253 2800.4085603 1.5324885
0.4874259 0.6909094 15.1855089 2801.8550916 1.5521019
0.4883328 0.6589806 17.2529568 2802.0828302 1.4713280
0.4901941 0.7023593 15.1607999 2801.7640644 1.5650149
0.4902291 0.6338637 15.8413591 2802.2373673 1.5126899
0.4916194 0.6066074 17.0391474 2801.7093111 1.5892745
0.4920250 0.5727002 15.6550404 2802.7609385 1.6092611
0.4921367 0.6397514 14.9421832 2802.5320844 1.5758237
0.4937999 0.6319191 17.2405310 2801.7240039 1.5530975
0.4977324 0.6040588 16.0569312 2799.9960123 1.5683492
0.4995195 0.5867661 17.9468808 2801.9863027 1.5365719
0.4996949 0.6342879 16.2321859 2800.9107066 1.4838616
0.5001713 0.5532027 16.5375087 2802.7255010 1.6021499
0.5008639 0.6863849 15.0768113 2800.9716136 1.5744595
0.5009408 0.6073353 16.8065874 2799.9464864 1.5541021
0.5023446 0.6802971 15.1452828 2801.4572074 1.6123296
0.5025197 0.6315907 17.5414876 2800.1048909 1.4734724
0.5030238 0.6162954 16.7180838 2802.1804036 1.4666062
0.5050617 0.5984555 16.5148133 2799.9249014 1.5654496
0.5051816 0.5639727 16.9655003 2800.3146316 1.5067325
0.5061432 0.5921628 17.6619106 2802.5448277 1.5509252
0.5075349 0.6272139 15.0448335 2801.9423123 1.5620531
0.5089029 0.6136669 16.8365466 2799.8425777 1.5382507
0.5089516 0.6156164 16.1666678 2802.8182151 1.6175509
0.5117446 0.6723999 15.7727318 2801.6438195 1.6051282
0.5120900 0.5977814 16.0772835 2800.4378189 1.5220969
0.5124500 0.6862863 16.3106076 2802.1920078 1.5154174
0.5133074 0.5405115 17.7518414 2802.3380383 1.5055201
0.5143520 0.6089650 16.5637799 2800.9606167 1.4692385
0.5151719 0.5788424 17.2329350 2799.8694548 1.5179049
0.5153989 0.6694000 16.4853818 2800.4231582 1.5227200
0.5171140 0.5604637 15.7403535 2802.3337303 1.5735163
0.5184759 0.5410593 16.9020193 2800.7585781 1.5568667
0.5190548 0.6306318 17.2083862 2802.8742010 1.5432152
0.5197147 0.5643676 15.8356928 2802.9192471 1.5838618
0.5231900 0.6936085 15.9659272 2801.5228908 1.5649757
0.5245699 0.5550731 16.9199313 2800.4044965 1.5205411
0.5284000 0.5730317 16.0331737 2802.7920890 1.5450649
0.5291495 0.5473305 17.3127700 2801.5607464 1.4839763
0.5293137 0.6337004 17.4070443 2802.1439273 1.5383145
0.5305218 0.5537940 16.5812987 2801.1118063 1.5180260
0.5310273 0.6841752 14.7573861 2802.3802018 1.5858710
0.5311303 0.7037077 15.2518820 2802.3773830 1.5695508
0.5312550 0.5669749 17.5928947 2800.1174500 1.5279221
0.5335030 0.6673543 16.0284171 2802.7438974 1.5917525
