# seed: 1784141145525623654
# N: 139.000
# minAmplitude: 0.20998409573019
# maxAmplitude: 0.2830891016485938
# minSigma: 17.999883804266283
# maxSigma: 16.548371118237924
# minX0: 2799.7190904776185
# maxX0: 2802.9998577055535
# minAlpha: 1.456002397664135
# maxAlpha: 1.6559741770305978
# chi2 amplitude sigma x0 alpha
0.3644640 0.2495702 17.9767593 2802.9471709 1.4767238
0.3645368 0.2480559 17.9895345 2802.7643036 1.4705915
0.3661677 0.2503981 17.9949508 2802.8541693 1.4881860
0.3664854 0.2408646 17.9947600 2802.8578193 1.4882502
0.3668148 0.2527080 17.9857807 2802.6794997 1.4633941
0.3671400 0.2479716 17.9146183 2802.6828718 1.4609049
0.3680651 0.2467103 17.8984454 2802.7038660 1.4665057
0.3683520 0.2530441 17.9978832 2802.5411198 1.4655092
0.3685763 0.2404507 17.9402154 2802.5112088 1.4587433
0.3689289 0.2391752 17.9804120 2802.6517013 1.4801836
0.3691887 0.2560156 17.9581014 2802.9917358 1.4811369
0.3693431 0.2490714 17.9757277 2802.5683346 1.4874437
0.3698123 0.2345633 17.9909479 2802.7873104 1.4724114
0.3698805 0.2520492 17.8588779 2802.9436053 1.4748864
0.3699527 0.2394417 17.8220479 2802.9859502 1.4593668
0.3699819 0.2539003 17.9595684 2802.8756900 1.4956864
0.3703446 0.2467637 17.9362850 2802.8192939 1.5074475
0.3704241 0.2480831 17.8421377 2802.9518935 1.4851639
0.3704473 0.2348536 17.9756113 2802.7668431 1.4727090
0.3705488 0.2426325 17.9038349 2802.5427290 1.4708294
0.3705753 0.2475631 17.8865299 2802.8798151 1.4968531
0.3706583 0.2444486 17.8618435 2802.9458792 1.4918585
0.3706703 0.2379450 17.8932564 2802.8711215 1.4736520
0.3707564 0.2512777 17.9264781 2802.3959619 1.4577950
0.3708193 0.2474078 17.8477861 2802.9850617 1.4931921
0.3709359 0.2534389 17.9689599 2802.8269567 1.5064649
0.3709454 0.2443672 17.9279128 2802.7102530 1.4988336
0.3710568 0.2538190 17.8097437 2802.9151454 1.4563595
0.3713672 0.2411743 17.9755181 2802.3250643 1.4766442
0.3714721 0.2364233 17.9273673 2802.7467148 1.4735484
0.3714731 0.2406389 17.9676799 2802.1616466 1.4577872
0.3715859 0.2439575 17.9445900 2802.5011556 1.4909007
0.3715997 0.2492110 17.9655121 2802.5780479 1.5039519
0.3716338 0.2410235 17.9290989 2802.9729182 1.5136433
0.3716966 0.2485994 17.8753917 2802.8304101 1.4976249
0.3717194 0.2431526 17.9701732 2802.1071201 1.4602925
0.3717470 0.2365395 17.9946523 2802.5444656 1.4830103
0.3717634 0.2382226 17.9967073 2802.7634534 1.5093687
0.3718050 0.2475629 17.9257754 2802.7245852 1.5078975
0.3718560 0.2495417 17.7687922 2802.9001790 1.4658561
0.3719127 0.2585119 17.9755985 2802.9237367 1.4834546
0.3719323 0.2425448 17.9507904 2802.4766242 1.4905054
0.3720515 0.2513569 17.9894346 2802.8703008 1.5373010
0.3720539 0.2452360 17.9137908 2802.5544096 1.4908141
0.3720637 0.2504288 17.8891016 2802.5187323 1.4731624
0.3721204 0.2461378 17.9713799 2802.9692473 1.5449625
0.3723622 0.2460701 17.8104362 2802.8336890 1.4820509
0.3723826 0.2435553 17.9584990 2802.5484307 1.5049772
0.3725492 0.2566037 17.9415585 2802.7292299 1.4785153
0.3725716 0.2489822 17.8264534 2802.6573911 1.4732540
0.3727565 0.2564467 17.9282061 2802.9953879 1.5030698
0.3729512 0.2496149 17.9195927 2802.3117021 1.4717155
0.3730108 0.2429122 17.9785013 2802.9302885 1.5446622
0.3731374 0.2404653 17.9996301 2802.9276390 1.5428628
0.3731441 0.2505772 17.7661825 2802.7686600 1.4631299
0.3731939 0.2596073 17.9697707 2802.8348788 1.4718772
0.3732030 0.2304502 17.9923046 2802.9612975 1.4718668
0.3733544 0.2511718 17.7645123 2802.7614482 1.4618172
0.3734225 0.2503588 17.8437348 2802.7584713 1.4920061
0.3734282 0.2473404 17.9949733 2802.3406085 1.5074219
0.3734712 0.2576608 17.8459540 2802.9906120 1.4678915
0.3734712 0.2469302 17.8685184 2802.9140720 1.5170857
0.3735089 0.2531228 17.9948320 2802.2536596 1.4783226
0.3735436 0.2583147 17.9874575 2802.8017440 1.4949708
0.3735611 0.2426438 17.9742031 2802.6018841 1.5213408
0.3735623 0.2503138 17.8637222 2802.7027626 1.4952980
0.3735918 0.2552815 17.8289344 2802.8360615 1.4705489
0.3736999 0.2545907 17.7618134 2802.8768631 1.4561356
0.3737263 0.2394084 17.8365444 2802.8353769 1.4825157
0.3737786 0.2497401 17.8448797 2802.5440227 1.4775904
0.3738513 0.2361106 17.9789764 2802.8391467 1.5106003
0.3739855 0.2481190 17.8194001 2802.5269311 1.4722654
0.3739918 0.2481080 17.9747655 2802.7638493 1.5455643
0.3741776 0.2382223 17.8861703 2802.6531320 1.4833754
0.3741866 0.2571416 17.8799366 2802.6762233 1.4623049
0.3743197 0.2417245 17.8199118 2802.4307588 1.4604646
0.3743701 0.2351844 17.9372739 2802.5591104 1.4757777
0.3743893 0.2569893 17.8506257 2802.7076844 1.4588122
0.3744289 0.2463560 17.9490905 2802.8027436 1.5432938
0.3744839 0.2402755 17.9978775 2802.6222843 1.5288553
0.3745394 0.2564237 17.8616623 2802.8722330 1.4856712
