# seed: 1784055086560574239
# N: 155.000
# minAmplitude: 0.19294170643501568
# maxAmplitude: 0.3999961006444704
# minSigma: 17.639417991858277
# maxSigma: 19.99997739942267
# minX0: 2794.430233436969
# maxX0: 2813.1449767060876
# minAlpha: 1.4560060028808783
# maxAlpha: 1.6559824097062028
# chi2 amplitude sigma x0 alpha
18.5602053 0.3871594 19.9691745 2803.7622962 1.4627460
18.5908021 0.3965468 19.9773719 2803.8936832 1.5475580
18.6246958 0.3861889 19.9881572 2804.5617213 1.4862616
18.6475963 0.3853446 19.9758250 2804.4459233 1.4815825
18.6875197 0.3835454 19.9686778 2803.4695465 1.5162936
18.7052488 0.3881682 19.9929230 2804.6966488 1.5581178
18.7915456 0.3936976 19.9370556 2803.5402659 1.5546858
18.8029797 0.3809679 19.9815158 2803.3189280 1.5861252
18.9479904 0.3969715 19.9303857 2804.9293641 1.5217927
18.9537439 0.3785344 19.9470938 2804.8202800 1.4879346
18.9572742 0.3873928 19.9382750 2803.3101616 1.6075729
18.9589523 0.3761681 19.9167601 2804.1023614 1.5008103
18.9645023 0.3969150 19.9557569 2805.0289153 1.6128790
18.9741767 0.3724427 19.9626790 2804.1020214 1.6042986
18.9863973 0.3813178 19.9143624 2803.5270263 1.5498834
19.0047110 0.3737229 19.9647530 2804.2466912 1.6337207
19.0175384 0.3956046 19.9071678 2802.9461822 1.5479730
19.0328521 0.3980134 19.9609139 2802.0624466 1.4652966
19.0457615 0.3660085 19.9906734 2803.7260144 1.6489252
19.0629399 0.3995901 19.9545725 2802.4196620 1.5702440
19.0669651 0.3914020 19.9168371 2803.1326030 1.6139097
19.0859055 0.3916954 19.8938272 2804.2268892 1.6293198
19.0904116 0.3587460 19.9854332 2803.2630711 1.5510009
19.1065462 0.3826355 19.9054050 2802.5802452 1.4660997
19.1147043 0.3923254 19.9817536 2802.3444412 1.6111564
19.1192473 0.3921360 19.9071175 2804.7514208 1.6216826
19.1215617 0.3641097 19.9814208 2805.0811010 1.4813311
19.1341259 0.3658108 19.9371598 2803.2528131 1.5342661
19.1375857 0.3829671 19.8844561 2803.9105081 1.5877203
19.1398168 0.3691672 19.9914777 2802.3622209 1.5223961
19.1417631 0.3732280 19.9413645 2804.2914601 1.6457233
19.1465680 0.3876907 19.9051430 2805.0156605 1.5148964
19.1466052 0.3824524 19.9411528 2803.0860109 1.6544866
19.1535266 0.3759044 19.9128599 2804.0105439 1.6142288
19.1591285 0.3752875 19.9770363 2802.1663745 1.4964187
19.1802272 0.3968949 19.8984650 2804.8998631 1.6345796
19.1812286 0.3697944 19.9158253 2804.7351420 1.4845971
19.1850621 0.3637725 19.9588916 2803.0568443 1.5621619
19.1926119 0.3628872 19.9629686 2803.6103533 1.6211909
19.1997963 0.3619783 19.9793385 2804.4307056 1.6426188
19.2167576 0.3787942 19.8976297 2803.3805020 1.6065486
19.2293211 0.3643409 19.9364509 2803.5086771 1.5874716
19.2336662 0.3705576 19.9813817 2802.1047953 1.4916456
19.2532181 0.3778955 19.9240797 2802.3843709 1.5040212
19.2543229 0.3934841 19.8709144 2802.9070474 1.5810368
19.2733520 0.3847080 19.9353084 2805.4968513 1.4945481
19.2747762 0.3635546 19.9285441 2803.6476386 1.5920821
19.2790555 0.3994379 19.7904388 2804.1511655 1.4890356
19.2860101 0.3833314 19.9005075 2805.2592436 1.4727207
19.2982759 0.3661315 19.9165196 2803.7225709 1.6054924
19.3120095 0.3963473 19.7779795 2803.8090261 1.4808834
19.3367831 0.3749543 19.8937144 2804.9064608 1.5393478
19.3392556 0.3504937 19.9314393 2803.4722364 1.4761621
19.3416379 0.3582422 19.9634630 2804.7413674 1.5851376
19.3468949 0.3597914 19.9316243 2803.9656702 1.5997355
19.3484549 0.3790834 19.8507089 2803.7738527 1.5920178
19.3530558 0.3798825 19.9493660 2801.8270401 1.4620512
19.3539431 0.3774553 19.8854465 2802.6038776 1.5172502
19.3540750 0.3391628 19.9971591 2803.3087389 1.4690180
19.3749282 0.3975514 19.9084879 2802.4692513 1.6407343
19.3815811 0.3779464 19.8251396 2804.0943492 1.5271117
19.3856195 0.3774001 19.8538712 2803.4833773 1.5909713
19.3876832 0.3917210 19.8587176 2804.9114656 1.6231659
19.3932644 0.3542765 19.9614346 2804.4519623 1.5980760
