# seed: 1784072509930166400
# N: 155.000
# minAmplitude: 0.39346551790654827
# maxAmplitude: 0.9799644172240405
# minSigma: 14.00159463688906
# maxSigma: 17.99982585777346
# minX0: 2794.9065034965315
# maxX0: 2808.6726248433984
# minAlpha: 1.456025085302605
# maxAlpha: 1.6559861236560194
# chi2 amplitude sigma x0 alpha
0.0135450 0.6064075 16.1666912 2801.6753335 1.5531079
0.0391171 0.5997485 16.4278057 2802.1779776 1.5600400
0.0457557 0.6049517 16.2905555 2802.3125031 1.5585137
0.0458543 0.5940004 16.6591821 2801.6280261 1.5314088
0.0466716 0.6210857 16.2914691 2801.6002375 1.5676007
0.0496524 0.6123044 16.1153703 2802.0514053 1.5810800
0.0535217 0.6052181 16.3252965 2801.1571632 1.5511195
0.0559671 0.5964524 16.5296549 2801.9055008 1.5679621
0.0653640 0.5959517 16.6587392 2801.2468058 1.5499682
0.0804865 0.5810507 16.5773783 2801.5479342 1.5440382
0.0905869 0.6017629 16.1767361 2802.0570659 1.5405400
0.0910828 0.5876516 16.0768524 2802.1376139 1.5796285
0.0924308 0.6110795 16.3556163 2801.0030438 1.5600181
0.1013499 0.6399615 15.7968193 2801.9089532 1.5480705
0.1034202 0.6270294 16.3293243 2800.9977048 1.5365427
0.1054290 0.6248041 15.5730224 2801.6679352 1.5953965
0.1090443 0.6205671 16.0595458 2802.4962691 1.5809385
0.1101789 0.6127138 16.4821159 2802.4544970 1.5653033
0.1133705 0.6260982 16.1904192 2801.8107765 1.5834248
0.1189340 0.5744164 16.3691349 2801.8813975 1.5727864
0.1220378 0.5997861 16.8931659 2801.4926931 1.4990550
0.1237779 0.6250046 16.8374448 2802.0751076 1.5170119
0.1245216 0.6070301 15.9691312 2802.1797300 1.5462384
0.1259709 0.5801365 16.6053209 2801.8292715 1.5762834
0.1274968 0.5832402 16.2319892 2801.2549627 1.5761083
0.1275908 0.6035996 17.2239135 2801.3368654 1.4924262
0.1287923 0.6228522 16.3541106 2800.8371971 1.5380958
0.1297047 0.6389139 15.5016347 2801.9389075 1.5621747
0.1299856 0.6041300 17.1112985 2801.1589047 1.5257886
0.1350615 0.6481485 16.2206699 2801.3961269 1.5532365
0.1378219 0.5778154 16.1531886 2802.0548332 1.5836521
0.1394136 0.6317321 15.7912625 2802.5236268 1.5870524
0.1467290 0.6106120 16.7441314 2800.8658519 1.5441388
0.1526972 0.5869098 17.0263131 2802.0457326 1.5058442
0.1561067 0.6111841 16.1233145 2802.8208197 1.5708024
0.1562490 0.6557383 16.1937584 2801.5452979 1.5431456
0.1564822 0.6454193 16.2626723 2801.4536041 1.5188076
0.1576749 0.6007211 16.5448116 2801.3284430 1.5801315
0.1579858 0.5828137 17.1217905 2801.3978802 1.5482056
0.1655167 0.6290720 15.6682272 2801.3081582 1.5492506
0.1664691 0.6362158 16.2039981 2802.6370217 1.5627821
0.1691132 0.6117234 15.4392625 2801.7906934 1.5726115
0.1755099 0.5877610 17.2662454 2802.2182650 1.5341134
0.1773537 0.6131890 15.9358728 2802.8577035 1.5728892
0.1785365 0.6056863 17.1996239 2801.1221307 1.4784632
0.1793951 0.5843327 17.0573373 2801.3912210 1.4942003
0.1814005 0.6071770 16.0775887 2801.1922306 1.5959844
0.1881812 0.5877042 15.7354319 2801.5848716 1.5704076
0.1901569 0.5894764 17.3655425 2800.8851911 1.5083669
0.1923070 0.6585591 15.9455362 2801.1569749 1.5538479
0.1940462 0.5928294 17.3266857 2801.6813471 1.4767237
0.1970401 0.5953428 16.6572065 2800.6473978 1.5246795
0.2002997 0.6504219 15.6613716 2801.3495853 1.5914268
0.2031605 0.6631145 15.6776527 2802.3158276 1.5734869
0.2038135 0.5772374 17.0407194 2800.8555894 1.5172774
0.2082004 0.6041159 17.1522229 2802.2762140 1.5440026
0.2096363 0.5982025 17.6112967 2801.8926649 1.4771785
0.2103213 0.6113184 16.7844914 2800.5343016 1.5186963
0.2125652 0.6546934 16.0427596 2800.9910973 1.5384216
0.2137801 0.6414812 15.7909889 2800.9754041 1.5420817
0.2140561 0.5718854 16.3853797 2802.4103834 1.5855158
0.2166916 0.6430350 15.9505246 2802.3562694 1.5909755
0.2181729 0.6670816 15.3835363 2801.6528893 1.5859912
0.2187310 0.6597532 16.2366543 2801.2851828 1.5264007
0.2190032 0.6117499 16.6972415 2802.8659880 1.5512661
0.2195256 0.6495159 15.6110629 2802.6216753 1.5876945
0.2239421 0.5893193 15.6347543 2801.8452373 1.6049623
0.2243077 0.6524235 16.2706797 2800.9965702 1.5223195
0.2246831 0.6505895 15.6316078 2802.2605670 1.5470504
0.2255756 0.6350616 15.1910232 2802.1118704 1.6038377
0.2295032 0.5863316 16.6932568 2802.7849931 1.5711584
0.2322742 0.6061399 17.2708512 2802.0794957 1.5397299
0.2337960 0.6151865 16.6918534 2802.6842432 1.5660506
0.2351731 0.5969130 16.1490225 2801.0772137 1.5987263
0.2361566 0.6576662 16.2600896 2802.0593115 1.5208745
0.2369213 0.6006752 15.6243566 2800.9822196 1.5778982
0.2383869 0.6175915 16.0426846 2803.0553673 1.5758155
0.2411440 0.5906583 17.0210730 2802.6210478 1.5590897
0.2417310 0.6531946 15.7662605 2800.8958503 1.5737766
0.2437838 0.6077621 17.6923688 2801.8552878 1.4686652
0.2448095 0.5905506 16.3999488 2802.8533262 1.5851741
0.2458890 0.6551674 16.6039383 2801.7154220 1.5335024
0.2462272 0.5808524 17.6738008 2802.1849588 1.5016162
0.2482048 0.5828463 16.6600308 2802.8444881 1.5410314
0.2482104 0.6521542 16.5197300 2801.4501576 1.4982864
0.2487096 0.6114097 17.0153866 2800.9781844 1.4717108
0.2487353 0.5963667 15.9840146 2800.8613903 1.5944164
0.2555392 0.6753416 15.2991934 2801.7108163 1.5780469
0.2561842 0.6301882 15.1654060 2801.3902431 1.5809174
0.2572780 0.6415646 16.2169272 2800.7247863 1.5200111
0.2575409 0.5940214 16.2742231 2800.9700852 1.5224474
0.2575845 0.6629920 15.2299043 2802.0186982 1.5669551
0.2583830 0.6124697 16.4120946 2802.2222565 1.5964356
0.2589274 0.5783699 17.6441783 2802.0131830 1.4781934
0.2593323 0.5881998 17.5378581 2801.8526485 1.4647342
0.2601749 0.5599185 17.5297068 2801.6142697 1.5066656
0.2612616 0.6319144 17.0090717 2802.4524157 1.5186851
0.2616384 0.5929703 17.9453006 2801.7203645 1.4662592
0.2643614 0.6401526 16.1482681 2800.8729187 1.5778334
0.2649445 0.6542888 15.1728789 2801.5465958 1.6028592
0.2679861 0.5930375 16.9876635 2802.6558939 1.5650411
0.2683534 0.6001073 17.3352898 2802.0658993 1.4679806
0.2745612 0.5910051 16.5991017 2800.8298308 1.5060695
0.2753392 0.6226475 16.2097914 2802.7571018 1.5925967
0.2761467 0.5755677 16.5252567 2800.8762580 1.5822568
0.2778310 0.5691972 16.8922533 2801.4979723 1.5038295
0.2793514 0.5773328 17.5619559 2800.8626584 1.5213999
0.2826489 0.5801646 16.0209735 2802.8054773 1.5902711
0.2907772 0.6752691 15.7496322 2802.3301594 1.5613485
0.2938478 0.6432833 17.0740503 2801.7761486 1.5179826
0.2947262 0.6282718 15.5255310 2802.9549636 1.5957957
0.2970656 0.5671402 17.7107770 2800.8983791 1.4957163
0.2972971 0.5905384 17.5804278 2800.6602538 1.5116551
0.2979805 0.6043753 16.6424443 2800.5266188 1.5014925
0.2991443 0.6182027 16.8528724 2800.3930186 1.5352277
0.3005133 0.5642719 16.4117476 2801.5551669 1.5355627
0.3018426 0.6146335 16.5749647 2800.7549398 1.4911645
0.3025948 0.6682974 15.8516346 2802.4936226 1.5736394
0.3056608 0.6185416 15.5465152 2802.2724831 1.5490096
0.3070041 0.5645676 16.7479225 2802.0588697 1.5186550
0.3087433 0.6406901 17.2451539 2801.9090709 1.4997648
0.3089935 0.5783213 16.7240858 2803.0516259 1.5626845
0.3102427 0.5983332 15.7550111 2802.8471405 1.6045178
0.3134283 0.6785187 15.1229930 2801.6724013 1.5773801
0.3134988 0.6192723 16.9218895 2801.3973241 1.4625421
0.3137524 0.5509108 17.3215111 2801.7853547 1.5185379
0.3139839 0.5916549 17.4244619 2800.9035765 1.5401568
0.3140550 0.5781944 16.9793741 2802.7953957 1.5700111
0.3154091 0.5960120 15.7179163 2801.1740803 1.5498096
0.3164797 0.5559151 17.1689570 2802.3649008 1.5579590
0.3173997 0.5882544 15.4993988 2801.9265257 1.5709278
0.3184888 0.5913920 17.3797408 2802.6802839 1.4916032
0.3185601 0.5712436 17.8455837 2801.6980743 1.5216310
0.3189908 0.6112910 16.4261300 2803.2662222 1.5605010
0.3190723 0.6494110 15.7588653 2802.9574483 1.5864427
0.3193800 0.6198892 15.9872914 2803.1540605 1.5902424
0.3204958 0.6245411 17.2337761 2800.4595888 1.4985913
0.3226304 0.6266454 14.9763520 2801.8673810 1.6024452
0.3250732 0.6401275 16.9266443 2801.9965562 1.4729226
0.3252947 0.5754428 15.6318208 2802.2317464 1.5857582
0.3265035 0.5597646 16.6579641 2801.8162671 1.5249680
0.3281468 0.6484051 17.0112108 2800.8426503 1.4921322
0.3287452 0.6324024 16.8262156 2802.4795147 1.4892274
0.3288992 0.6331208 15.6186676 2801.1583936 1.5353925
0.3308229 0.6796197 15.9082497 2801.6379823 1.5644599
0.3320145 0.6392480 15.1417587 2802.6505252 1.5820260
0.3324551 0.6273850 16.6347891 2802.9470609 1.5643060
0.3335771 0.6050303 15.3224670 2801.4016394 1.6142091
0.3343028 0.6079414 16.3697820 2801.3665579 1.4945399
0.3352330 0.5718506 17.3239078 2802.4266123 1.5616378
0.3366258 0.5637180 17.4370689 2802.1001036 1.5574742
0.3368070 0.6848585 15.6424837 2801.4001486 1.5561223
0.3373996 0.5868442 17.8487490 2802.2586062 1.4608324
0.3374418 0.5511120 16.7992745 2802.1983404 1.5411370
0.3376620 0.6031000 16.8971988 2800.3809353 1.5524732
0.3384037 0.6341104 16.2508768 2803.0533040 1.5358591
0.3385674 0.5724047 16.5696486 2800.4957883 1.5602223
0.3387410 0.5780108 17.4807534 2802.2502370 1.5534367
0.3388555 0.6170009 16.4325723 2802.7430409 1.5935050
0.3434216 0.5947740 17.6403432 2802.5088871 1.4712928
0.3442641 0.5935453 17.5231093 2800.6004346 1.5243138
0.3458248 0.6154605 15.2307148 2801.9006783 1.6197762
0.3461059 0.5799383 16.9272521 2800.5401752 1.4987198
0.3462044 0.6815372 15.2742466 2801.3963174 1.5870019
0.3467769 0.6295947 16.6919566 2800.8700760 1.5678611
0.3468673 0.6319751 17.0445136 2801.7896282 1.5513528
0.3475447 0.6626172 16.1758942 2800.6817573 1.5277405
0.3490506 0.5520619 16.9798026 2802.0105283 1.5223130
0.3553385 0.6329545 15.3203875 2801.8560265 1.6223601
0.3553535 0.5989764 17.3932982 2800.2488988 1.4745631
0.3558110 0.6722693 14.9405493 2801.6632738 1.5979790
0.3561982 0.5688966 17.2416285 2801.5120844 1.4763206
